sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22
ASV_117	370	0	26	384	0	55	0	52	50	22	10	0	202	1970	0	29	181	41	0	0	66	0
ASV_118	0	0	6	0	38	0	0	45	0	0	0	274	0	337	9	0	109	0	0	0	0	423
ASV_119	0	0	0	0	0	0	0	28	121	1695	0	39	21	1735	0	213	108	0	0	0	0	0
ASV_120	139	25	0	0	142	0	0	96	0	79	0	193	0	28	0	0	52	0	0	23	0	2908
ASV_121	0	59	0	0	0	0	0	0	0	68	0	44	0	51	103	0	227	0	0	101	0	0
ASV_122	24	0	19	0	0	0	0	436	0	11	0	0	0	0	0	0	0	0	0	851	0	0
ASV_123	43	33	14	4	648	4	0	75	0	428	0	52	0	42	0	0	0	0	95	179	7	60
ASV_124	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	213
ASV_125	0	0	0	828	65	352	0	0	728	0	143	0	2282	0	0	341	0	63	0	0	599	0
ASV_126	0	0	23	0	0	0	0	0	22	51	0	0	0	119	0	0	0	0	0	0	13	0
ASV_127	0	0	10	0	0	0	0	13	0	0	0	194	0	0	0	0	0	0	72	61	0	32
ASV_128	0	0	0	0	0	51	0	31	0	0	0	0	94	622	0	32	4018	27	0	0	37	0
ASV_129	38	164	0	14	105	0	0	0	0	517	0	0	0	0	0	0	0	0	339	15	0	0
ASV_130	0	0	0	217	19	1376	0	0	870	25	168	0	42	0	0	656	0	56	0	0	1015	48
ASV_131	0	7	0	0	88	0	0	127	0	190	0	164	0	86	0	0	0	0	6	0	0	547
ASV_132	281	69	0	0	46	0	0	0	24	0	0	49	0	58	362	0	0	0	0	0	0	91
ASV_133	12	0	12	261	0	73	0	0	55	0	36	0	891	1702	0	94	310	64	0	0	65	0
ASV_134	46	26	28	0	1338	0	0	37	0	143	0	4	0	100	0	0	0	0	75	32	13	0
ASV_135	327	199	0	0	67	74	269	32	0	0	0	53	0	30	1321	0	124	0	193	499	0	148
ASV_136	14	16	83	0	11	2	21	99	4	19	4	24	12	78	0	3	7	22	30	47	15	48
ASV_137	0	82	0	18	177	0	35	0	0	0	0	2989	0	114	0	11	180	0	0	0	0	0
